,R1,R2
0,expt1_bind_rep2_more_reads_R1.fastq,expt1_bind_rep2_more_reads_R2.fastq
1,expt1_bind_rep2_R1.fastq,expt1_bind_rep2_R2.fastq
2,expt1_bind_rep1_more_reads_R1.fastq,expt1_bind_rep1_more_reads_R2.fastq
3,expt1_bind_rep1_R1.fastq,expt1_bind_rep1_R2.fastq
4,expt1_display_rep2_more_reads_R1.fastq,expt1_display_rep2_more_reads_R2.fastq
5,expt1_display_rep2_R1.fastq,expt1_display_rep2_R2.fastq
6,expt1_display_rep1_R1.fastq,expt1_display_rep1_R2.fastq
7,expt1_unsorted_rep2_R1.fastq,expt1_unsorted_rep2_R2.fastq
8,expt2_bind_hi_more_reads_R1.fastq,expt2_bind_hi_more_reads_R2.fastq
9,expt2_bind_hi_R1.fastq,expt2_bind_hi_R2.fastq
10,expt2_bind_wt_R1.fastq,expt2_bind_wt_R2.fastq
11,expt2_bind_low_more_reads_R1.fastq,expt2_bind_low_more_reads_R2.fastq
12,expt2_bind_low_R1.fastq,expt2_bind_low_R2.fastq
13,expt2_display_R1.fastq,expt2_display_R2.fastq
14,expt2_unsorted_R1.fastq,expt2_unsorted_R2.fastq
15,expt1_unsorted_rep1_more_reads_R1.fastq,expt1_unsorted_rep1_more_reads_R2.fastq
16,expt1_unsorted_rep1_R1.fastq,expt1_unsorted_rep1_R2.fastq
